Vectorization,Word Type,Size,Classifier,Score,Time
bagOfWords,Ngram,1,SVC,0.71%,0.25
bagOfWords,Ngram,1,KNN,0.67%,0.0
bagOfWords,Ngram,1,RandomForest,0.72%,1.26
bagOfWords,Ngram,1,MLP,0.73%,3.45
bagOfWords,Ngram,1,SGD,0.7%,0.02
bagOfWords,Ngram,2,SVC,0.83%,5.35
bagOfWords,Ngram,2,KNN,0.76%,0.0
bagOfWords,Ngram,2,RandomForest,0.8%,2.76
bagOfWords,Ngram,2,MLP,0.84%,7.18
bagOfWords,Ngram,2,SGD,0.8%,0.06
bagOfWords,Ngram,3,SVC,0.88%,37.77
bagOfWords,Ngram,3,KNN,0.71%,0.01
bagOfWords,Ngram,3,RandomForest,0.83%,3.37
bagOfWords,Ngram,3,MLP,0.87%,20.34
bagOfWords,Ngram,3,SGD,0.87%,0.04
bagOfWords,Ngram,4,SVC,0.87%,61.87
bagOfWords,Ngram,4,KNN,0.52%,0.01
bagOfWords,Ngram,4,RandomForest,0.84%,3.23
bagOfWords,Ngram,4,MLP,0.89%,59.73
bagOfWords,Ngram,4,SGD,0.88%,0.06
bagOfWords,Ngram,5,SVC,0.87%,77.96
bagOfWords,Ngram,5,KNN,0.5%,0.03
bagOfWords,Ngram,5,RandomForest,0.84%,5.79
bagOfWords,Ngram,5,MLP,0.8%,301.49
bagOfWords,Ngram,5,SGD,0.89%,0.15
bagOfWords,Ngram,6,SVC,0.79%,99.51
bagOfWords,Ngram,6,KNN,0.5%,0.04
bagOfWords,Ngram,6,RandomForest,0.86%,10.25
bagOfWords,Ngram,6,MLP,0.91%,565.89
bagOfWords,Ngram,6,SGD,0.87%,0.23
bagOfWords,Ngram,7,SVC,0.66%,109.48
bagOfWords,Ngram,7,KNN,0.62%,0.03
bagOfWords,Ngram,7,RandomForest,0.86%,16.16
bagOfWords,Ngram,7,MLP,0.89%,956.48
bagOfWords,Ngram,7,SGD,0.87%,0.3
bagOfWords,Ngram,8,SVC,0.55%,104.37
bagOfWords,Ngram,8,KNN,0.52%,0.03
bagOfWords,Ngram,8,RandomForest,0.86%,17.37
bagOfWords,Ngram,8,MLP,0.89%,318.58
bagOfWords,Ngram,8,SGD,0.87%,0.35
bagOfWords,Word,1,SVC,0.88%,10.58
bagOfWords,Word,1,KNN,0.57%,0.0
bagOfWords,Word,1,RandomForest,0.85%,1.4
bagOfWords,Word,1,MLP,0.9%,9.76
