bagOfWords ,Ngram ,1  ,KNN ,75.65% ,0.003 ,27.221
bagOfWords ,Ngram ,2  ,KNN ,84.36% ,0.022 ,180.565
bagOfWords ,Ngram ,3  ,KNN ,63.52% ,0.059 ,312.157
bagOfWords ,Ngram ,4  ,KNN ,48.93% ,0.099 ,221.672
bagOfWords ,Ngram ,5  ,KNN ,47.5%  ,0.102 ,137.788
bagOfWords ,Ngram ,6  ,KNN ,47.24% ,0.121 ,91.407
bagOfWords ,Ngram ,7  ,KNN ,47.23% ,0.126 ,67.833
bagOfWords ,Ngram ,8  ,KNN ,47.41% ,0.129 ,54.803
bagOfWords ,Ngram ,9  ,KNN ,61.48% ,0.122 ,45.88
bagOfWords ,Ngram ,10 ,KNN ,53.81% ,0.129 ,40.02
bagOfWords ,Word  ,1  ,KNN ,47.94% ,0.015 ,24.671
tfidf      ,Ngram ,1  ,KNN ,78.13% ,0.003 ,27.168
tfidf      ,Ngram ,2  ,KNN ,71.26% ,0.024 ,186.84
tfidf      ,Ngram ,3  ,KNN ,60.09% ,0.067 ,321.7
tfidf      ,Ngram ,4  ,KNN ,64.01% ,0.092 ,220.716
tfidf      ,Ngram ,5  ,KNN ,47.7%  ,0.112 ,141.115
tfidf      ,Ngram ,6  ,KNN ,47.54% ,0.111 ,93.327
tfidf      ,Ngram ,7  ,KNN ,53.89% ,0.122 ,68.613
tfidf      ,Ngram ,8  ,KNN ,53.66% ,0.123 ,46.536
tfidf      ,Ngram ,9  ,KNN ,53.64% ,0.127 ,47.467
tfidf      ,Ngram ,10 ,KNN ,53.63% ,0.129 ,37.644
tfidf      ,Word  ,1  ,KNN ,48.66% ,0.014 ,24.38
