bagOfWords ,Ngram ,1  ,RandomForest ,84.15% ,23.56   ,0.234
bagOfWords ,Ngram ,2  ,RandomForest ,98.09% ,47.484  ,0.764
bagOfWords ,Ngram ,3  ,RandomForest ,99.59% ,48.267  ,2.587
bagOfWords ,Ngram ,4  ,RandomForest ,99.81% ,45.867  ,5.095
bagOfWords ,Ngram ,5  ,RandomForest ,99.64% ,52.639  ,6.324
bagOfWords ,Ngram ,6  ,RandomForest ,99.33% ,73.57   ,8.315
bagOfWords ,Ngram ,7  ,RandomForest ,99.05% ,108.591 ,15.628
bagOfWords ,Ngram ,8  ,RandomForest ,98.81% ,143.566 ,19.665
bagOfWords ,Ngram ,9  ,RandomForest ,98.59% ,187.709 ,23.49
bagOfWords ,Ngram ,10 ,RandomForest ,98.29% ,225.265 ,25.823
bagOfWords ,Word  ,1  ,RandomForest ,99.31% ,21.477  ,0.935
tfidf      ,Ngram ,1  ,RandomForest ,83.43% ,26.536  ,0.24
tfidf      ,Ngram ,2  ,RandomForest ,98.15% ,57.014  ,0.729
tfidf      ,Ngram ,3  ,RandomForest ,99.54% ,53.246  ,3.027
tfidf      ,Ngram ,4  ,RandomForest ,99.82% ,47.681  ,5.021
tfidf      ,Ngram ,5  ,RandomForest ,99.55% ,48.82   ,6.554
tfidf      ,Ngram ,6  ,RandomForest ,99.27% ,63.392  ,7.893
tfidf      ,Ngram ,7  ,RandomForest ,99.0%  ,92.896  ,14.047
tfidf      ,Ngram ,8  ,RandomForest ,98.62% ,132.436 ,20.172
tfidf      ,Ngram ,9  ,RandomForest ,98.68% ,175.463 ,24.588
tfidf      ,Ngram ,10 ,RandomForest ,98.24% ,217.02  ,26.493
tfidf      ,Word  ,1  ,RandomForest ,99.13% ,19.224  ,0.98
