Vectorization,Word Type,Size,Classifier,Score,Time
bagOfWords,Ngram,1,SVC,0.71%,0.71
bagOfWords,Ngram,1,KNN,0.68%,0.0
bagOfWords,Ngram,1,RandomForest,0.72%,3.7
bagOfWords,Ngram,1,MLP,0.71%,20.88
bagOfWords,Ngram,1,SGD,0.7%,0.04
bagOfWords,Ngram,2,SVC,0.83%,12.71
bagOfWords,Ngram,2,KNN,0.77%,0.01
bagOfWords,Ngram,2,RandomForest,0.79%,6.2
bagOfWords,Ngram,2,MLP,0.84%,20.71
bagOfWords,Ngram,2,SGD,0.81%,0.17
bagOfWords,Word,1,SVC,0.88%,24.98
bagOfWords,Word,1,KNN,0.62%,0.01
bagOfWords,Word,1,RandomForest,0.87%,3.89
bagOfWords,Word,1,MLP,0.89%,89.73
bagOfWords,Word,1,SGD,0.85%,0.04
tfidf,Ngram,1,SVC,0.68%,0.8
tfidf,Ngram,1,KNN,0.64%,0.0
tfidf,Ngram,1,RandomForest,0.71%,4.13
tfidf,Ngram,1,MLP,0.7%,7.37
tfidf,Ngram,1,SGD,0.5%,0.07
tfidf,Ngram,2,SVC,0.85%,12.38
tfidf,Ngram,2,KNN,0.62%,0.02
tfidf,Ngram,2,RandomForest,0.82%,9.63
tfidf,Ngram,2,MLP,0.84%,25.69
tfidf,Ngram,2,SGD,0.81%,0.27
tfidf,Word,1,SVC,0.89%,34.11
tfidf,Word,1,KNN,0.51%,0.01
tfidf,Word,1,RandomForest,0.87%,4.25
tfidf,Word,1,MLP,0.89%,89.47
tfidf,Word,1,SGD,0.85%,0.04
